16:12:51.079 [main] ERROR testCases.TC001_Account_Registartion -Test Failed
16:12:58.058 [main] INFO  testCases.TC002_LoginTest -====> TC002_LoginTest execution started =====> 
16:15:25.349 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:15:35.678 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:15:45.804 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:15:55.897 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:16:06.097 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:16:37.497 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:16:47.739 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:16:58.191 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:17:08.329 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:17:18.467 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:18:26.456 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:18:36.755 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:18:46.943 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:18:57.050 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
16:19:07.154 [main] INFO  testCases.TC003_LoginDDT -===== Test Started====>
